"Genes","tissue","expression"
"NAP1L5","Liver",-12
"USP29","Liver",-12
"HERC3-new","Liver",-0.24973
"GM9801-new","Liver",-12
"BEGAIN","Liver",-12
"PX00010K13","Liver",-0.90309
"PEG13","Liver",-2.4082
"1110006E14RIK","Liver",-12
"MBII-343","Liver",0
"MIRG","Liver",-12
"ZDBF2","Liver",-0.30103
"IMPACT","Liver",-2.8899
"NDN","Liver",-0.90309
"NIBP","Liver",-1.2304
"AK139287","Liver",0.12494
"CCDC40-AS","Liver",-0.30103
"PX00113D24","Liver",-0.30103
"PEC2","Liver",-12
"ZIM3","Liver",-12
"AK142849","Liver",-12
"MKRN3","Liver",-12
"IPW","Liver",-12
"B830012L14RIK","Liver",-12
"ADAM23","Liver",11.1564
"COMMD1","Liver",14.3845
"UBE3A","Liver",11.9197
"WARS","Liver",12.0623
"BCL2L1","Liver",13.4046
"BLCAP","Liver",0.61363
"CALCR","Liver",-12
"MAGEL2","Liver",-12
"CDH15","Liver",0.56159
"COPG2","Liver",12.3167
"U80893","Liver",-12
"NR_015479-new","Liver",-11
"GRB10","Liver",0.21269
"PEG10","Liver",-0.30103
"SGCE","Liver",-8.4288
"PEG1","Liver",11.1785
"MCTS2","Liver",-4.1398
"H13","Liver",10
"SNRPN","Liver",-10
"ZRSR1","Liver",-10
"MEG3","Liver",10
"RIAN","Liver",9.633
"PEG3","Liver",-3.3113
"PLAGL1","Liver",-2.1072
"1110014L15RIK-new","Liver",-11
"ASB4","Liver",-11
"ZIM1","Liver",-12
"KLHDC10","Liver",12.4389
"DLK1","Liver",-12
"GNAS","Liver",14.4493
"PPP1R9A","Liver",-11
"PDE4D","Liver",-11
"A19","Liver",-12
"ZFP264","Liver",-12
"KCNQ1OT1","Liver",-10
"AK050713","Liver",-12
"RTL1","Liver",-11
"CDKN1C","Liver",-12
"PEG12","Liver",-0.30103
"KCNQ1","Liver",-11
"NESPAS","Liver",-12
"SLC38A4","Liver",15.504
"H19","Liver",3.0103
"IGF2","Liver",-0.30103
"INS1","Liver",-12
"TFPI2","Liver",12.6138
"AK043599","Liver",-12
"EDN3-new","Liver",-12
"TMEM106A-new","Liver",11.1799
"DDC","Liver",14.5627
"RDM1","Liver",-0.63979
"TNK1-new","Liver",-11
"TREM1-new","Liver",-12
"2400006E01RIK-new","Liver",-12
"IGF2AS","Liver",-12
"UC008IHS.1-new","Liver",-12
"5133400J02RIK-new","Liver",-12
"PHLDA2","Liver",0.48972
"AF357359","Liver",-12
"GAB1","Liver",-0.63884
"SFMBT2","Liver",-11
"CD81","Liver",0.93523
"PHF17","Liver",-0.6242
"TSSC4","Liver",12.7446
"DACT2-new","Liver",12.6973
"SLC22A2","Liver",-12
"TSSC5","Liver",15.0123
"SLC22A3","Liver",5.441
"KLF14","Liver",-12
"ATP10A","Liver",-11
"DCN","Liver",-1.48
"PON2","Liver",12.7934
"PON3","Liver",13.3043
"AMPD3","Liver",-0.30103
"GABRB3","Liver",-11
"GATM","Liver",11.4614
"TBC1D12","Liver",-0.69354
"DIO3","Liver",-12
"NAP1L4","Liver",13.4779
"MSUIT","Liver",-12
"ASCL2","Liver",-12
"OSBPL5","Liver",-11
"TNFRSF23","Liver",0.50515
"AIRN","Liver",-12
"HTR2A","Liver",-12
"MAPT","Liver",-11
"MKRN1-PS1","Liver",-12
"DLX5","Liver",-12
"IGF2R","Liver",10
"TRY4-new","Liver",-12
"TSPAN32","Liver",0.60206
"ZIM2","Liver",-12
"PEC3","Whole Bone Marrow",-12
"UBE2NL","Whole Bone Marrow",-12
"TRAPPC9","Whole Bone Marrow",-11
"EIF2C2","Whole Bone Marrow",-0.50515
"MIR344D-3","Whole Bone Marrow",-12
"MIR344G","Whole Bone Marrow",-12
"A930009L07RIK","Whole Bone Marrow",-12
"KCNK9","Whole Bone Marrow",-12
"RASGRF1","Whole Bone Marrow",-12
"INPP5F","Whole Bone Marrow",11.4727
"NAP1L5","Whole Bone Marrow",-12
"USP29","Whole Bone Marrow",-12
"HERC3-new","Whole Bone Marrow",0.30103
"GM9801-new","Whole Bone Marrow",-12
"BEGAIN","Whole Bone Marrow",-12
"PX00010K13","Whole Bone Marrow",-12
"PEG13","Whole Bone Marrow",-12
"1110006E14RIK","Whole Bone Marrow",-12
"MBII-343","Whole Bone Marrow",-12
"MIRG","Whole Bone Marrow",-12
"ZDBF2","Whole Bone Marrow",-12
"IMPACT","Whole Bone Marrow",-12
"NDN","Whole Bone Marrow",-12
"NIBP","Whole Bone Marrow",-11
"AK139287","Whole Bone Marrow",-12
"CCDC40-AS","Whole Bone Marrow",-12
"PX00113D24","Whole Bone Marrow",-12
"PEC2","Whole Bone Marrow",-12
"ZIM3","Whole Bone Marrow",-12
"AK142849","Whole Bone Marrow",-12
"MKRN3","Whole Bone Marrow",-12
"IPW","Whole Bone Marrow",-12
"B830012L14RIK","Whole Bone Marrow",-12
"ADAM23","Whole Bone Marrow",-12
"COMMD1","Whole Bone Marrow",-12
"UBE3A","Whole Bone Marrow",12.0512
"WARS","Whole Bone Marrow",0.25722
"BCL2L1","Whole Bone Marrow",-0.37802
"BLCAP","Whole Bone Marrow",-11
"CALCR","Whole Bone Marrow",-12
"MAGEL2","Whole Bone Marrow",-12
"CDH15","Whole Bone Marrow",-12
"COPG2","Whole Bone Marrow",-12
"U80893","Whole Bone Marrow",-12
"NR_015479-new","Whole Bone Marrow",-12
"GRB10","Whole Bone Marrow",-12
"PEG10","Whole Bone Marrow",-12
"SGCE","Whole Bone Marrow",-12
"PEG1","Whole Bone Marrow",0.30103
"MCTS2","Whole Bone Marrow",-12
"H13","Whole Bone Marrow",12.3132
"SNRPN","Whole Bone Marrow",-12
"ZRSR1","Whole Bone Marrow",-12
"MEG3","Whole Bone Marrow",-12
"RIAN","Whole Bone Marrow",-12
"PEG3","Whole Bone Marrow",-12
"PLAGL1","Whole Bone Marrow",1.2041
"1110014L15RIK-new","Whole Bone Marrow",11.1125
"ASB4","Whole Bone Marrow",-12
"ZIM1","Whole Bone Marrow",-12
"KLHDC10","Whole Bone Marrow",-0.45481
"DLK1","Whole Bone Marrow",-12
"GNAS","Whole Bone Marrow",-0.51305
"PPP1R9A","Whole Bone Marrow",0.51767
"PDE4D","Whole Bone Marrow",-11
"A19","Whole Bone Marrow",-12
"ZFP264","Whole Bone Marrow",-12
"KCNQ1OT1","Whole Bone Marrow",3.9134
"AK050713","Whole Bone Marrow",-12
"RTL1","Whole Bone Marrow",-11
"CDKN1C","Whole Bone Marrow",-12
"PEG12","Whole Bone Marrow",-12
"KCNQ1","Whole Bone Marrow",-12
"NESPAS","Whole Bone Marrow",-12
"SLC38A4","Whole Bone Marrow",-12
"H19","Whole Bone Marrow",-12
"IGF2","Whole Bone Marrow",-12
"INS1","Whole Bone Marrow",-12
"TFPI2","Whole Bone Marrow",-12
"AK043599","Whole Bone Marrow",-12
"EDN3-new","Whole Bone Marrow",-12
"TMEM106A-new","Whole Bone Marrow",-0.76479
"DDC","Whole Bone Marrow",-12
"RDM1","Whole Bone Marrow",-4.5154
"TNK1-new","Whole Bone Marrow",-4.2755
"TREM1-new","Whole Bone Marrow",10
"2400006E01RIK-new","Whole Bone Marrow",-12
"IGF2AS","Whole Bone Marrow",-12
"UC008IHS.1-new","Whole Bone Marrow",-12
"5133400J02RIK-new","Whole Bone Marrow",-12
"PHLDA2","Whole Bone Marrow",-12
"AF357359","Whole Bone Marrow",-12
"GAB1","Whole Bone Marrow",-11
"SFMBT2","Whole Bone Marrow",-12
"CD81","Whole Bone Marrow",13.5391
"PHF17","Whole Bone Marrow",-0.44364
"TSSC4","Whole Bone Marrow",13.6189
"DACT2-new","Whole Bone Marrow",-12
"SLC22A2","Whole Bone Marrow",-12
"TSSC5","Whole Bone Marrow",-12
"SLC22A3","Whole Bone Marrow",-11
"KLF14","Whole Bone Marrow",-12
"ATP10A","Whole Bone Marrow",-1.5051
"DCN","Whole Bone Marrow",0.30103
"PON2","Whole Bone Marrow",12.4277
"PON3","Whole Bone Marrow",-11
"AMPD3","Whole Bone Marrow",-0.38487
"GABRB3","Whole Bone Marrow",-12
"GATM","Whole Bone Marrow",-0.51767
"TBC1D12","Whole Bone Marrow",-12
"DIO3","Whole Bone Marrow",-12
"NAP1L4","Whole Bone Marrow",-0.30103
"MSUIT","Whole Bone Marrow",-12
"ASCL2","Whole Bone Marrow",-12
"OSBPL5","Whole Bone Marrow",-12
"TNFRSF23","Whole Bone Marrow",-0.30103
"AIRN","Whole Bone Marrow",-12
"HTR2A","Whole Bone Marrow",-12
"MAPT","Whole Bone Marrow",-11
"MKRN1-PS1","Whole Bone Marrow",-0.30103
"DLX5","Whole Bone Marrow",-12
"IGF2R","Whole Bone Marrow",-2.1072
"TRY4-new","Whole Bone Marrow",-12
"TSPAN32","Whole Bone Marrow",13.5089
"ZIM2","Whole Bone Marrow",-12
"PEC3","Spleen",11.2257
"UBE2NL","Spleen",-12
"TRAPPC9","Spleen",-11
"EIF2C2","Spleen",-0.77949
"MIR344D-3","Spleen",-12
"MIR344G","Spleen",-12
"A930009L07RIK","Spleen",-12
"KCNK9","Spleen",-12
"RASGRF1","Spleen",0.30103
"INPP5F","Spleen",12.353
"NAP1L5","Spleen",-12
"USP29","Spleen",-12
"HERC3-new","Spleen",11.2564
"GM9801-new","Spleen",-12
"BEGAIN","Spleen",-11
"PX00010K13","Spleen",-12
"PEG13","Spleen",-2.4082
"1110006E14RIK","Spleen",-12
"MBII-343","Spleen",-12
"MIRG","Spleen",-12
"ZDBF2","Spleen",-12
"IMPACT","Spleen",-0.42371
"NDN","Spleen",-12
"NIBP","Spleen",-8.7333
"AK139287","Spleen",0.30103
"CCDC40-AS","Spleen",-12
"PX00113D24","Spleen",-12
"PEC2","Spleen",-12
"ZIM3","Spleen",-12
"AK142849","Spleen",-12
"MKRN3","Spleen",-12
"IPW","Spleen",-12
"B830012L14RIK","Spleen",-12
"ADAM23","Spleen",-0.78022
"COMMD1","Spleen",-12
"UBE3A","Spleen",0.33907
"WARS","Spleen",12.0801
"BCL2L1","Spleen",-0.30103
"BLCAP","Spleen",12.528
"CALCR","Spleen",-12
"MAGEL2","Spleen",-12
"CDH15","Spleen",-12
"COPG2","Spleen",-0.20548
"U80893","Spleen",-12
"NR_015479-new","Spleen",-11
"GRB10","Spleen",0.60206
"PEG10","Spleen",-0.30103
"SGCE","Spleen",-4.2144
"PEG1","Spleen",11.2375
"MCTS2","Spleen",0
"H13","Spleen",12.5459
"SNRPN","Spleen",-0.90309
"ZRSR1","Spleen",-1.2041
"MEG3","Spleen",1.4853
"RIAN","Spleen",-12
"PEG3","Spleen",-1.2041
"PLAGL1","Spleen",-0.60206
"1110014L15RIK-new","Spleen",12.834
"ASB4","Spleen",-12
"ZIM1","Spleen",-12
"KLHDC10","Spleen",11.4187
"DLK1","Spleen",-11
"GNAS","Spleen",1.1702
"PPP1R9A","Spleen",11.1361
"PDE4D","Spleen",0.40265
"A19","Spleen",-12
"ZFP264","Spleen",-12
"KCNQ1OT1","Spleen",-10
"AK050713","Spleen",-11
"RTL1","Spleen",-11
"CDKN1C","Spleen",0.30103
"PEG12","Spleen",-0.60206
"KCNQ1","Spleen",-11
"NESPAS","Spleen",-12
"SLC38A4","Spleen",-12
"H19","Spleen",-12
"IGF2","Spleen",-3.9134
"INS1","Spleen",-12
"TFPI2","Spleen",-12
"AK043599","Spleen",-12
"EDN3-new","Spleen",-11
"TMEM106A-new","Spleen",11.4753
"DDC","Spleen",-12
"RDM1","Spleen",13.3872
"TNK1-new","Spleen",11.5918
"TREM1-new","Spleen",-11
"2400006E01RIK-new","Spleen",-12
"IGF2AS","Spleen",-12
"UC008IHS.1-new","Spleen",-12
"5133400J02RIK-new","Spleen",-12
"PHLDA2","Spleen",-12
"AF357359","Spleen",-12
"GAB1","Spleen",-0.39012
"SFMBT2","Spleen",0.43976
"CD81","Spleen",14.9891
"PHF17","Spleen",11.9803
"TSSC4","Spleen",13.2033
"DACT2-new","Spleen",-0.96108
"SLC22A2","Spleen",-12
"TSSC5","Spleen",0.30103
"SLC22A3","Spleen",11.1553
"KLF14","Spleen",-12
"ATP10A","Spleen",-11
"DCN","Spleen",12.6466
"PON2","Spleen",12.3387
"PON3","Spleen",-12
"AMPD3","Spleen",0.21843
"GABRB3","Spleen",-12
"GATM","Spleen",0.30103
"TBC1D12","Spleen",-11
"DIO3","Spleen",-12
"NAP1L4","Spleen",13.6743
"MSUIT","Spleen",-12
"ASCL2","Spleen",-12
"OSBPL5","Spleen",0.30103
"TNFRSF23","Spleen",-11
"AIRN","Spleen",-12
"HTR2A","Spleen",-12
"MAPT","Spleen",11.7287
"MKRN1-PS1","Spleen",-11
"DLX5","Spleen",-12
"IGF2R","Spleen",1.8062
"TRY4-new","Spleen",-12
"TSPAN32","Spleen",0.48869
"ZIM2","Spleen",-12
"PEC3","Testes",-12
"UBE2NL","Testes",-12
"TRAPPC9","Testes",-11
"EIF2C2","Testes",0.30103
"MIR344D-3","Testes",-11
"MIR344G","Testes",-11
"A930009L07RIK","Testes",-12
"KCNK9","Testes",-12
"RASGRF1","Testes",11.5138
"INPP5F","Testes",11.9507
"NAP1L5","Testes",-12
"USP29","Testes",-11
"HERC3-new","Testes",11.2427
"GM9801-new","Testes",-12
"BEGAIN","Testes",11.3439
"PX00010K13","Testes",-12
"PEG13","Testes",-12
"1110006E14RIK","Testes",-12
"MBII-343","Testes",-11
"MIRG","Testes",12.2214
"ZDBF2","Testes",-0.75852
"IMPACT","Testes",-1.9458
"NDN","Testes",-0.43976
"NIBP","Testes",12.6477
"AK139287","Testes",-12
"CCDC40-AS","Testes",14.2299
"PX00113D24","Testes",-11
"PEC2","Testes",-12
"ZIM3","Testes",11.1209
"AK142849","Testes",-12
"MKRN3","Testes",-11
"IPW","Testes",-12
"B830012L14RIK","Testes",-12
"ADAM23","Testes",-11
"COMMD1","Testes",0.24414
"UBE3A","Testes",12.7795
"WARS","Testes",13.0233
"BCL2L1","Testes",14.2413
"BLCAP","Testes",12.6801
"CALCR","Testes",-12
"MAGEL2","Testes",-12
"CDH15","Testes",0.18293
"COPG2","Testes",13.7623
"U80893","Testes",-12
"NR_015479-new","Testes",-12
"GRB10","Testes",12.0566
"PEG10","Testes",-10
"SGCE","Testes",-5.6866
"PEG1","Testes",-0.50515
"MCTS2","Testes",-0.69152
"H13","Testes",12.7887
"SNRPN","Testes",11.9146
"ZRSR1","Testes",-3.2642
"MEG3","Testes",10
"RIAN","Testes",0.46289
"PEG3","Testes",-11
"PLAGL1","Testes",-10
"1110014L15RIK-new","Testes",-12
"ASB4","Testes",12.3979
"ZIM1","Testes",-11
"KLHDC10","Testes",13.3144
"DLK1","Testes",-0.30103
"GNAS","Testes",13.3961
"PPP1R9A","Testes",0.41129
"PDE4D","Testes",-11
"A19","Testes",13.0514
"ZFP264","Testes",11.0465
"KCNQ1OT1","Testes",-11
"AK050713","Testes",-12
"RTL1","Testes",-12
"CDKN1C","Testes",-0.20548
"PEG12","Testes",-0.30103
"KCNQ1","Testes",-11
"NESPAS","Testes",-11
"SLC38A4","Testes",-11
"H19","Testes",-11
"IGF2","Testes",-0.37416
"INS1","Testes",-12
"TFPI2","Testes",-12
"AK043599","Testes",-12
"EDN3-new","Testes",-12
"TMEM106A-new","Testes",12.5978
"DDC","Testes",-11
"RDM1","Testes",11.3982
"TNK1-new","Testes",-11
"TREM1-new","Testes",0.59533
"2400006E01RIK-new","Testes",-0.30103
"IGF2AS","Testes",0.30103
"UC008IHS.1-new","Testes",11.6619
"5133400J02RIK-new","Testes",11.1922
"PHLDA2","Testes",-12
"AF357359","Testes",-12
"GAB1","Testes",-0.27915
"SFMBT2","Testes",12.5463
"CD81","Testes",-0.28711
"PHF17","Testes",-0.36987
"TSSC4","Testes",-0.66397
"DACT2-new","Testes",0.68305
"SLC22A2","Testes",-12
"TSSC5","Testes",0.30103
"SLC22A3","Testes",-11
"KLF14","Testes",-12
"ATP10A","Testes",13.2819
"DCN","Testes",13.3147
"PON2","Testes",12.7305
"PON3","Testes",11.2779
"AMPD3","Testes",-11
"GABRB3","Testes",-11
"GATM","Testes",14.4815
"TBC1D12","Testes",0.44223
"DIO3","Testes",-11
"NAP1L4","Testes",0.46498
"MSUIT","Testes",-0.30103
"ASCL2","Testes",0.30103
"OSBPL5","Testes",-0.74427
"TNFRSF23","Testes",-0.16273
"AIRN","Testes",-12
"HTR2A","Testes",-12
"MAPT","Testes",0.66243
"MKRN1-PS1","Testes",-11
"DLX5","Testes",11.2401
"IGF2R","Testes",3.2626
"TRY4-new","Testes",-12
"TSPAN32","Testes",-12
"ZIM2","Testes",-11
